ลำดับที่	เตรียมข้อมูล	กรณีการทดสอบ	ผลลัพธ์	ตรวจสอบ	ชื่อผู้ใช้	รหัสผ่าน	รหัสผู้จัดจำหน่าย	ประเภทราคา	วันที่บิล	กำหนดชำระหนี้	แผนกผู้จัดจำหน่าย	เลขที่ใบกำกับภาษี	วันที่ในใบกำกับภาษี	งวด	คำอธิบาย	รายการ	จำนวน	ราคา	ส่วนลด	หัก ณ ที่จ่าย	หมายเหตุ	เงินสด	สถานะ
เพิ่มรายการ																							
2	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ไม่มี VAT  รายการมี TAX(2%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_002	tester@gmail.com	123123	D001	รวมภาษีมูลค่าเพิ่ม	29/11/2018				21/11/2018	11/61	ค่าใช้จ่ายล่าสุด	ค่าโทรศัพท์	1	6000	500	2%	จ่ายค่าโทรศัพท์	1000	ค้างชำระ
3	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ไม่มี VAT  รายการ มี TAX (3%)	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_003	tester@gmail.com	123123	D001																
4	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ไม่มี VAT  รายการมี TAX(5%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_004	tester@gmail.com	123123	D001																
5	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ไม่มี VAT  รายการมี TAX(ระบุจำนวนเงิน) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_005	tester@gmail.com	123123	D001																
6	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (0%)  รายการไม่มี TAX 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_006	tester@gmail.com	123123	D001																
7	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (0%)  รายการมี TAX (2%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_007	tester@gmail.com	123123	D001																
8	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (0%)  รายการมี TAX (3%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_008	tester@gmail.com	123123	D001																
9	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (0%)  รายการมี TAX (5%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_009	tester@gmail.com	123123	D001																
10	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (0%)  รายการมี TAX ระบุจำนวน(บาท) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_010	tester@gmail.com	123123	D001																
11	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (7%)  รายการไม่มี TAX 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_011	tester@gmail.com	123123	D001																
12	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (7%)  รายการมี TAX (2%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_012	tester@gmail.com	123123	D001																
13	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (7%)  รายการมี TAX (3%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_013	tester@gmail.com	123123	D001																
14	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (7%)  รายการมี TAX (5%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_014	tester@gmail.com	123123	D001																
15	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้มี VAT (7%)  รายการมี TAX ระบุจำนวน(บาท) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_015	tester@gmail.com	123123	D001																
16	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ไม่มี VAT  รายการที่1 ไม่มี TAX รายการที่2 มี TAX (2%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_016	tester@gmail.com	123123	D001																
17	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ รายการที่1 ไม่มี VAT ไม่มี TAX (2%) รายการที่2 มี VAT (0%) มี TAX (5%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_017	tester@gmail.com	123123	D001																
18	- เข้าระบบด้วย Maker User - Maker User ได้รับสิทธิ์ในการใช้งานเมนู OE	ตรวจสอบการเพิ่มรายการ กรณี นิติบุคคลมี VATจ่ายเจ้าหนี้ รายการที่1 ไม่มี VAT ไม่มี TAX (2%) รายการที่2 มี VAT (0%) มี TAX (5%) 	-ระบบสามารถเพิ่มข้อมูลรายการได้สำเร็จ -ระบบแสดงข้อความยืนยัน -หน้าจอ List รายการ แสดงข้อมูลได้ถูกต้อง	TS_OE_Add_Cr_018	tester@gmail.com	123123	D001																
