ลำดับที่	หมวดการทดสอบ	กรณีการทดสอบ	เตรียมข้อมูล	ตรวจสอบ	ชื่อผู้ใช้	รหัสผ่าน	สถานะ "ชำระแล้ว"	สถานะ "ค้างชำระ"	สถานะ "ยกเลิกรายการ"	"ผลลัพธ์ที่ 1"	"ผลลัพธ์ที่ 2"	"ผลลัพธ์ที่ 3"
ค้นหารายการ : เลือกสถานะเอกสาร												
1	ตรวจสอบการแสดงรายการ กรณี -เลือกสถานะเอกสาร -มีรายการที่มีสถานะชำระแล้ว/ค้างชำระ/ยกเลิกรายการในระบบ	ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ชำระแล้ว	-มีรายการที่มีสถานะชำระแล้วในระบบ	TS_OE_Lis_01_1	tester@gmail.com	123123	yes	no	no	ชำระแล้ว	 	
2		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ค้างชำระ	-มีรายการที่มีสถานะค้างชำระในระบบ	TS_OE_Lis_01_1	tester@gmail.com	123123	no	yes	no	ค้างชำระ		
3		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ยกเลิกรายการ	-มีรายการที่มีสถานะยกเลิกรายการในระบบ	TS_OE_Lis_01_1	tester@gmail.com	123123	no	no	yes	ยกเลิกรายการ		
4	ตรวจสอบการแสดงรายการ กรณี -เลือกสถานะเอกสาร -ไม่มีรายการที่มีสถานะชำระแล้ว/ค้างชำระ/ยกเลิกรายการในระบบ	ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ชำระแล้ว	-ไม่มีรายการที่มีสถานะชำระแล้วในระบบ	TS_OE_Lis_02_0	automate@gmail.com	123123	yes	no	no			
5		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ค้างชำระ	-ไม่มีรายการที่มีสถานะค้างชำระในระบบ	TS_OE_Lis_02_0	automate@gmail.com	123123	no	yes	no			
6		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ยกเลิกรายการ	-ไม่มีรายการที่มีสถานะยกเลิกรายการในระบบ	TS_OE_Lis_02_0	automate@gmail.com	123123	no	no	yes			
7	ตรวจสอบการแสดงรายการ กรณี เลือกสถานะเอกสารมากกว่า 1 รายการ	ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ชำระแล้ว -เลือก Checkbox ยกเลิกรายการ	-มีรายการชำระแล้ว/ยกเลิกรายการในระบบ	TC_OE_Lis_03_2	tester@gmail.com	123123	yes	no	yes	ชำระแล้ว	ยกเลิกรายการ	
8		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -เลือก Checkbox ชำระแล้ว -เลือก Checkbox ยกเลิกรายการ	-ไม่มีรายการชำระแล้ว/ยกเลิกรายการในระบบ	TC_OE_Lis_03_0	automate@gmail.com	123123	yes	no	yes			
9	ตรวจสอบการแสดงรายการ กรณี ไม่เลือกสถานะเอกสาร	ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -ไม่เลือกสถานะเอกสาร	-มีรายการชำระแล้ว/ค้างชำระ/ยกเลิกรายการในระบบ	TS_OE_Lis_04_0	tester@gmail.com	123123	no	no	no			
10		ตรวจสอบการแสดงรายการ โดยมีเงื่อนไขดังนี้ -ไม่เลือกสถานะเอกสาร	-ไม่มีรายการชำระแล้ว/ยกเลิกรายการในระบบ	TS_OE_Lis_04_0	automate@gmail.com	123123	no	no	no			
